mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900429,Ram Prakash,Elected,10-04-2008,09-04-2014,Second Term,N/A,Haryana,Indian National Congress,Male,Doctorate,"M.Sc.(Hons.), Ph.D. in Chemistry, UNESCO Course in Analytical Chemistry, D.Sc. (Honoris causa) Educated at D.A.V. College, Ambala City, Panjab University, Chandigarh, Charles University, Prague (Praha) and Heyrovsky Institute of Polarography, Prague (Prah",85,42,0,198,0.952247191, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,25.7,2,184.2,0.874717895,Rajya Sabha
900331,Narendra Budania,Elected,04-08-2009,03-04-2018,Third Term,N/A,Rajasthan,Indian National Congress,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at Lohia P.G. College, Churu and University of Rajasthan, Jaipur (Rajasthan)",68,83,0,76,0.913680782, Data corresponds to the period from 01-06-2009 to 09-08-2024.,96.35989646,1.852990286,490.1774648,0.797189314,75.88863636,1.197222222,510.055303,0.836013724,Rajya Sabha
900448,Ravi Shankar Prasad (RS),Elected,03-04-2006,22-05-2019,Fourth Term,N/A,Bihar,Bharatiya Janata Party,Male,Post Graduate,"B.A.Hons., M.A. (Pol.Science), LL.B.; Educated at Patna University",69,104,0,761,0.766853933,"This MP was appointed a minister in May 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 21st Feb, 2014. Data corresponds to the period from 01-06-2009 to 09-08-2024.",39.07140246,0.968051246,284.2491237,0.797189314,51.8375,0.0625,331.9958333,0.828824349,Rajya Sabha
900293,Mir Mohammad Fayaz,Elected,23-02-2015,10-02-2021,First Term,N/A,Jammu and Kashmir,Jammu and Kashmir Peoples Democratic Party,Male,Information not available,Information not available,47,28,0,69,0.714666667, Data corresponds to the period from 01-06-2009 to 09-08-2024.,93.82728887,1.279838907,299.7994287,0.797189314,77.5,0.25,59.75,0.82951221,Rajya Sabha
900383,Prasanta Chatterjee,Elected,03-04-2008,02-04-2014,Second Term,N/A,West Bengal,Communist Party of India (Marxist),Male,Graduate,"Matriculation, Educated at Narikeldanga High School, Kolkata and City College, Kolkata",84,90,0,173,0.811797753, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,57.92139724,0.59702381,164.8953008,0.710191158,Rajya Sabha
900474,Sampatiya Uikey,Elected,01-08-2017,29-06-2022,First Term,N/A,Madhya Pradesh,Bharatiya Janata Party,Female,Inter/ Higher Secondary,Information not available,56,39,0,65,0.862962963, Data corresponds to the period from 01-06-2009 to 09-08-2024.,81.18881062,0.898098588,219.2975211,0.797189314,65.6547619,0.236111111,196.4047619,0.859978101,Rajya Sabha
900481,Santanu Sen,Elected,03-04-2018,02-04-2024,First Term,N/A,West Bengal,All India Trinamool Congress,Male,Professional Graduate,"M.B.B.S., D.M.R.D., F.I.A.M.S., F.R.C.P. (Glassgow) Educated at R.G. Kar Medical College, Kolkata",51,552,0,481,0.660436137, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.5092723,1.402770352,256.9495301,0.797189314,169.2178571,1.8125,247.0172619,0.710191158,Rajya Sabha
900602,Wansuk Syiem,Elected,12-04-2013,12-04-2020,Second Term,N/A,Meghalaya,Indian National Congress,Female,Matric,"Educated at St. Mary’s Mazarello Convent, Jowai, Meghalaya",68,140,0,655,0.906926407, Data corresponds to the period from 01-06-2009 to 09-08-2024.,104.3104512,1.500965027,364.1912034,0.797189314,140,N/A,655,0.808042294,Rajya Sabha
900341,Naznin Faruque,Elected,03-04-2010,02-04-2016,First Term,N/A,Assam,Indian National Congress,Female,Graduate,"B.A.(Hons.) ; Educated at Lady Kene College, North Eastern Hill University, Shillong, Meghalaya",70,13,0,377,0.821176471, Data corresponds to the period from 01-06-2009 to 09-08-2024.,60.01791652,1.283100005,325.2657498,0.797189314,49.8952381,0.595238095,282.2428571,0.847539038,Rajya Sabha
900086,Bhagirathi Majhi,Elected,24-03-2006,01-07-2010,First Term,N/A,Odisha,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Sulaipat High School, Sulaipat and Keonjhar College, Utkal University (Orissa)",70,2,0,55,0.941176471, Data corresponds to the period from 01-06-2009 to 09-08-2024.,10.16469479,0.32389617,78.08241781,0.797189314,12.57777778,N/A,75.42222222,0.779857655,Rajya Sabha
900200,K. Keshava Rao,Elected,10-04-2020,05-07-2024,Third Term,N/A,Telangana,Bharat Rashtra Samithi,Male,Doctorate,"M.A., Ph.D. Educated at Badruk College, Arts College, Osmania University, Hyderabad",85,145,0,58,0.767412935, Data corresponds to the period from 01-06-2009 to 09-08-2024.,198.5000815,3.001308441,663.590694,0.797189314,116.8973304,5.682611833,871.4432359,0.759049192,Rajya Sabha
900228,Kanta Kardam,Elected,03-04-2018,02-04-2024,First Term,N/A,Uttar Pradesh,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"Intermediate Educated at KUIC, Sadarpur, Uttar Pradesh",59,96,0,367,0.934579439, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.5092723,1.402770352,256.9495301,0.797189314,93.16209633,0.410344828,252.6913793,0.843924756,Rajya Sabha
900473,Samir Oraon,Elected,04-05-2018,03-05-2024,First Term,N/A,Jharkhand,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Intermediate (Arts) Educated at Bihar Intermediate Education Council, Ranchi, Jharkhand",54,53,0,106,0.876582278, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.5092723,1.402770352,253.621355,0.797189314,49.86666667,0.966666667,245.9666667,0.800191833,Rajya Sabha
900280,Manish Gupta,Elected,14-03-2017,02-04-2020,First Term,N/A,West Bengal,All India Trinamool Congress,Male,Information not available,Information not available,81,40,0,106,0.715053763, Data corresponds to the period from 01-06-2009 to 09-08-2024.,53.19190219,0.733869372,165.93728,0.797189314,73.64166667,1.083333333,172.95,0.710191158,Rajya Sabha
900335,Naresh Chandra Agrawal,Elected,19-03-2010,02-04-2018,Second Term,N/A,Uttar Pradesh,Samajwadi Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at Lucknow University, Lucknow",73,326,0,595,0.813263525, Data corresponds to the period from 01-06-2009 to 09-08-2024.,91.70637035,1.744393001,448.9533819,0.797189314,105.4773886,1.785215054,363.3184276,0.843924756,Rajya Sabha
900083,Bashistha Narain Singh,Elected,03-04-2018,02-04-2024,Third Term,N/A,Bihar,Janata Dal (United),Male,Post Graduate,"M.A. (History) Educated at Patna University, Patna",76,10,0,48,0.69701087, Data corresponds to the period from 01-06-2009 to 09-08-2024.,190.0384066,2.733821306,589.8961533,0.797189314,200.1019897,1.031684982,412.7848901,0.828824349,Rajya Sabha
900613,Hardwar Dubey,Elected,26-11-2020,26-06-2023,First Term,N/A,Uttar Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B. Educated at Agra University, Uttar Pradesh",75,11,0,46,0.885964912, Data corresponds to the period from 01-06-2009 to 09-08-2024.,52.86799085,0.503376529,119.2427081,0.797189314,34.44482759,0.172413793,116.937931,0.843924756,Rajya Sabha
900076,Baishnab Parida,Elected,02-07-2010,01-07-2016,First Term,N/A,Odisha,Biju Janata Dal,Male,Post Graduate,"M.A., M.Phil ; Educated at University of Calcutta and Institute of Oriental Studies, Moscow",83,94,0,627,0.919621749, Data corresponds to the period from 01-06-2009 to 09-08-2024.,63.22170818,1.189831851,322.5160792,0.797189314,82.78611111,0.7,338.9555556,0.779857655,Rajya Sabha
