id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession,assets_ns,liabilities_ns,cases_ns,serious_cases_ns,income_ns,gender_encoded,house_encoded,education_encoded
602,Lok Sabha,Himachal Pradesh,Shimla,Suresh Kumar Kashyap,BJP,48,M,15705738,7873806,0,0,Post Graduate,Y,1656520,Public Representive as M.L.A & Agriculturist,0.0002936597848491049,0.003753372469664576,0.0,0.0,0.0006319930736837131,1,0,10
603,Rajya Sabha,West Bengal,2020-2026,Subrata Bakshi,AITC,69,M,15428967,137149,0,0,Graduate Professional,Y,2038110,Social Worker & Ex- Member of Parliament,0.00028843788859669764,6.537769419795546e-05,0.0,0.0,0.0007775767291704975,1,1,6
604,Lok Sabha,Madhya Pradesh,Betul,Durga Das (D.D.) Uikey,BJP,55,M,15413532,875803,0,0,Post Graduate,Y,656568,Retired,0.0002881466732285561,0.00041748740939891643,0.0,0.0,0.0002504928575582354,1,0,10
605,Lok Sabha,Arunachal Pradesh,Arunachal West,Kiren Rijiju,BJP,47,M,15279000,0,0,0,Graduate Professional,Y,612700,Social Service,0.00028560842989154155,0.0,0.0,0.0,0.0002337564027274111,1,0,6
606,Lok Sabha,Kerala,Alappuzha,A M Ariff,CPI(M),54,M,15268906,2220700,2,0,Graduate Professional,Y,600000,Social Service,0.0002854179842857093,0.001058587707569138,0.00980392156862745,0.0,0.00022891111740892223,1,0,6
607,Lok Sabha,Uttar Pradesh,Etawah,Dr Ram Shankar Katheria,BJP,54,M,15154538,7304616,12,5,Doctorate,Y,929128,Principal,0.00028326017934734754,0.0034820447183828733,0.058823529411764705,0.09090909090909091,0.0003544795478265285,1,0,4
608,Lok Sabha,Uttarakhand,Garhwal,Tirath Singh Rawat,BJP,55,M,15032657,3500000,0,0,Post Graduate,Y,355480,"Social Worker, Agriculture",0.0002809606250691188,0.0016684185060980696,0.0,0.0,0.00013562220669420614,1,0,10
609,Lok Sabha,Uttar Pradesh,Hathras,Rajvir Diler,BJP,61,M,14930000,0,0,0,12th Pass,Y,649107,MLA,0.0002790237740132518,0.0,0.0,0.0,0.0002476463478132555,1,0,1
610,Rajya Sabha,Chhattisgarh,2018-2024,Saroj Pandey,BJP,48,F,14859546,3488992,0,0,Doctorate,Y,690754,Former M.P Member Pansion,0.00027769450368302534,0.00166317109155089,0.0,0.0,0.0002635354499911378,0,1,4
611,Lok Sabha,Uttar Pradesh,Fatehpur Sikri,Rajkumar Chahar,BJP,52,M,14854247,356404,3,4,Graduate,Y,376545,"Surya Medical Store c/o. Dr. Sunil Kohali narsing home Arjun Nagar, Agra",0.0002775945263434865,0.00016989457978496466,0.014705882352941176,0.07272727272727272,0.00014365889450790437,1,0,5
