id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession
332,Lok Sabha,Gujarat,Rajkot,Kundaria Mohanbhai,BJP,67,M,68818120,16566856,0,0,8th Pass,Y,651315,Agriculture & Business
333,Lok Sabha,Gujarat,Valsad,Dr.K.C.Patel,BJP,69,M,68239480,0,0,0,Graduate Professional,Y,2390234,"Agriculture, Doctor"
334,Rajya Sabha,Maharashtra,2020-2026,Athawale Ramdas Bandu,RPI(A),61,M,68013776,3301800,1,0,12th Pass,Y,1357340,Social Worker
335,Lok Sabha,Madhya Pradesh,Khargone,Gajendra Umrao Singh Patel,BJP,43,M,67303990,1885020,0,0,Graduate Professional,Y,4996005,Agriculture & Business (Petrol Pump Dealership)
336,Lok Sabha,Uttar Pradesh,Ghosi,Atul Kumar Singh,BSP,36,M,66536025,3454591,13,14,Graduate,Y,1648650,Business/ Director Kusum Vijan Infra Pvt. Ltd.
337,Rajya Sabha,Rajasthan,2020-2026,Rajendra Gehlot,BJP,69,M,66224635,301486,0,0,12th Pass,Y,937622,"Agriculture, Pension, Interest & Rent Income"
338,Lok Sabha,Maharashtra,Wardha,Ramdas Chandrabhanji Tadas,BJP,65,M,65807822,8961387,0,0,10th Pass,Y,928600,Farmer and House Rent
339,Lok Sabha,Tamil Nadu,Theni,P. Raveendranath Kumar,AIADMK,39,M,65803231,32734079,0,0,Post Graduate,Y,12559753,"agriculture, business"
340,Lok Sabha,Goa,North Goa,Shripad Yesso Naik,BJP,66,M,65795623,1491387,0,0,Graduate,Y,715270,Business
341,Lok Sabha,Rajasthan,Karauli Dholpur,Manoj Rajoria,BJP,49,M,64867148,22121569,0,0,Post Graduate,Y,3992025,Business
342,Rajya Sabha,Tamil Nadu,2021-2026,Dr. Kanimozhi Nvn Somu,DMK,48,F,63899576,29011150,0,0,Post Graduate,Y,3107430,Practicing Doctor
343,Lok Sabha,Telangana,Mahbubnagar,Manne Srinivas Reddy,TRS,60,M,63353123,4569251,0,0,12th Pass,Y,10818786,Business
344,Lok Sabha,Bihar,Hajipur,Pashupati Kumar Paras,LJP,66,M,62834200,6744375,1,0,Graduate Professional,Y,1660255,"Bihar Legislative Council Member,Minister Bihar Government & Social Worker"
345,Lok Sabha,West Bengal,Kolkata Uttar,Bandyopadhyay Sudip,AITC,70,M,61176355,0,2,2,Graduate,Y,1473426,M.P.
346,Lok Sabha,Bihar,Sitamarhi,Sunil Kumar,JD(U),58,M,60717031,10277790,6,5,Graduate,Y,1986988,Social Service
347,Lok Sabha,Haryana,Bhiwani Mahendragarh,Dharambir Singh,BJP,64,M,60642205,240000,0,0,Graduate,Y,1332309,No
348,Rajya Sabha,Kerala,2021-2024,Jose K Mani,Kerala Congress (M),57,M,60578677,0,0,0,Post Graduate,Y,977130,Politician (Ex Member of Parliament)
349,Lok Sabha,Tamil Nadu,Salem,Parthiban.S.R,DMK,49,M,60045532,4039841,4,0,Graduate Professional,Y,419978,"Agriculture, Advocate"
350,Rajya Sabha,Tamil Nadu,2022-2028,Thiru. S. Kalyanasundaram,DMK,81,M,59659812,2529738,11,0,8th Pass,Y,686700,Agriculture
351,Lok Sabha,Uttar Pradesh,Kaushambi,Vinod Kumar Sonkar,BJP,49,M,59336113,20730086,4,4,Graduate,Y,3305570,Business
352,Lok Sabha,Madhya Pradesh,Indore,Shankar Lalwani,BJP,57,M,59038508,2106382,2,1,Graduate Professional,Y,1067560,Consultant
353,Lok Sabha,Madhya Pradesh,Gwalior,Vivek Narayan Shejwalkar,BJP,71,M,58911673,0,0,0,Graduate Professional,Y,1103370,Social Worker
354,Lok Sabha,Rajasthan,Banswara,Kanakmal Katara,BJP,62,M,58711904,1746729,0,0,Graduate Professional,Y,1866530,"Business & Agriculture, Rent"
355,Rajya Sabha,Uttar Pradesh,2020-2026,Brijlal,BJP,65,M,58375226,0,0,0,Post Graduate,Y,2049049,nan
356,Lok Sabha,Himachal Pradesh,Hamirpur,Anurag Singh Thakur,BJP,45,M,56770463,1085145,3,1,Graduate,Y,1702090,"Businessman, Social Activists and at present Member of Lok Sabha"
357,Rajya Sabha,Uttar Pradesh,2018-2024,Ashok Bajpayi,BJP,66,M,56683694,5200000,0,0,Doctorate,Y,411352,Agriculture/Social Work
358,Lok Sabha,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,BJP,67,M,56545702,0,2,1,Doctorate,Y,2226440,Pension
359,Lok Sabha,Jammu & Kashmir,Jammu,Jugal Kishore,BJP,56,M,56481801,350040219,0,0,10th Pass,Y,810206,Politician and Businessman
360,Rajya Sabha,Bihar,2020-2024,Sushil Kumar Modi,BJP,68,M,56443386,2853157,2,1,Graduate,Y,400150,"Social Worker & Political Activist MLC in Bihar Legislative Council.,Dy. Chief Minister of Bihar till 16/11/2020"
361,Rajya Sabha,Uttar Pradesh,2022-2028,Mithlesh Kumar,BJP,57,M,56164729,24980000,0,0,Graduate,Y,845270,Agriculture
362,Lok Sabha,Uttar Pradesh,Moradabad,Dr. S T Hasan,SP,60,M,55795546,500000,0,0,Post Graduate,Y,692332,Doctor & Agriculture
363,Lok Sabha,Uttar Pradesh,Banda,R.K. Singh Patel,BJP,59,M,55794086,0,2,3,Graduate,Y,763535,"Social Worker, Politician,Agricultur e"
364,Rajya Sabha,Rajasthan,2022-2028,Ghanshyam Tiwari,BJP,75,M,55651237,64628611,0,0,Graduate Professional,Y,928500,Political & Cultural Work(Farmer by tradition)
365,Lok Sabha,Uttar Pradesh,Mohanlalganj,Kaushal Kishore,BJP,59,M,55530561,0,1,1,Graduate,Y,1830000,Agriculture & MP Salary
366,Lok Sabha,Maharashtra,Mumbai North East,Manoj Kishorbhai Kotak,BJP,46,M,54661944,2048000,2,2,10th Pass,Y,1192860,Business
367,Lok Sabha,Uttar Pradesh,Kannauj,Subrat Pathak,BJP,39,M,54287991,28993930,11,9,Graduate,Y,1315540,Busines
368,Lok Sabha,Punjab,Ludhiana,Ravneet Singh Bittu,INC,43,M,54281096,3331266,3,2,12th Pass,Y,608562,Agriculturist
369,Rajya Sabha,Uttar Pradesh,2022-2028,Babu Ram Nishad,BJP,53,M,54047065,28125000,2,1,Graduate Professional,Y,910940,"Agriculture, Rent, Salary from Corporation and Bank Interest"
370,Rajya Sabha,Haryana,2020-2026,Ram Chander Jangra,BJP,69,M,53906000,0,0,0,Graduate,Y,0,Social Worker and Politician
371,Rajya Sabha,Rajasthan,2020-2026,Neeraj Dangi,INC,50,M,52313677,1022221,0,0,Graduate Professional,Y,318040,Business
372,Lok Sabha,Maharashtra,Nanded,Chikhalikar Pratap Govindrao,BJP,57,M,52178606,594000,0,0,12th Pass,Y,2237403,Farmer
373,Lok Sabha,Karnataka,Bidar,Bhagwanth Khuba,BJP,50,M,51836416,10239000,1,1,Graduate Professional,Y,651122,Agriculture & Politician
374,Lok Sabha,Madhya Pradesh,"Khandwa : Bye Election On 30-,Oct-21",Gyaneshwar Patil,BJP,52,M,51831369,5747840,1,0,12th Pass,Y,934785,Farmer
375,Rajya Sabha,West Bengal,2021-2026,Jawhar Sircara,AITC,69,M,51615870,0,0,0,Post Graduate,Y,2454815,Retired IAS Officer and Ex-CEO of Prasar Bharati
