id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession
461,Lok Sabha,Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,BJP,62,M,33359734,0,0,0,Doctorate,Y,867350,"Agricuture, Parliamentary allowance, Rent"
462,Rajya Sabha,Tamil Nadu,2022-2028,Thiru. C.ve. Shanmugam,AIADMK,57,M,33353363,1000000,8,2,Graduate Professional,Y,868780,Advocate
463,Rajya Sabha,Gujarat,2020-2026,Ramilaben Bara,BJP,66,F,33240806,339507,0,0,Graduate Professional,Y,475030,Retired Officer
464,Rajya Sabha,Jharkhand,2022-2028,Mahua Maji,JMM,57,F,32872272,15672272,0,0,Post Graduate,Y,490490,Business
465,Lok Sabha,Punjab,Fatehgarh Sahib,Amar Singh,INC,65,M,32808836,0,0,0,Post Graduate,Y,2072900,Retired IAS Officer
466,Lok Sabha,Bihar,Gopalganj,Dr. Alok Kumar Suman,JD(U),61,M,32739903,3576376,0,0,Post Graduate,Y,1509140,Doctor and Social Service
467,Rajya Sabha,Uttar Pradesh,2020-2026,Seema,BJP,50,F,32448200,1100000,0,0,Post Graduate,Y,882340,Teacher & Salary
468,Lok Sabha,Jharkhand,Palamu,Vishnu Dayal Ram,BJP,68,M,32273873,90922,0,0,Graduate,Y,2892760,Politics
469,Rajya Sabha,Karnataka,2020-2026,Iranna B Kadadi,BJP,54,M,32233016,340000,0,0,10th Pass,Y,936840,Agriculture and Business
470,Lok Sabha,Tamil Nadu,Tiruchirappalli,Thirunavukkarasa r. Su,INC,69,M,32182184,40208,0,0,Post Graduate,Y,557000,Advocate & Agriculturist
471,Rajya Sabha,Uttar Pradesh,2022-2028,Luxmikant Bajpayi,BJP,70,M,32109821,1508395,1,0,Graduate Professional,Y,320850,Ayurvedic Medicine Manufacturing Unit
472,Lok Sabha,Uttar Pradesh,Faizabad,Lallu Singh,BJP,64,M,31884642,11276478,1,3,Post Graduate,Y,788215,"Agricultural, Former MLA & Army Pension, Present Parliament Salary"
473,Lok Sabha,Odisha,Bhubaneswar,Aparajita Sarangi,BJP,49,F,31677600,4329959,0,0,Graduate,Y,2424090,Social Service Retired from Goverment Service
474,Lok Sabha,Telangana,Nalgonda,Nalamada Uttam Kumar Reddy,INC,55,M,31501349,1200000,4,4,Graduate,Y,240680,Politician
475,Rajya Sabha,West Bengal,2018-2024,Santanu Sen,AITC,45,M,31298330,1197000,0,0,Graduate Professional,Y,707900,Medical Practice
476,Rajya Sabha,Nagaland,2022-2028,S. Phangnon Konyak,BJP,44,F,31262981,0,0,0,Post Graduate,Y,0,Full time party worker
477,Lok Sabha,Karnataka,Raichur,Raja Amareshwara Naik,BJP,62,M,30638375,678532,0,0,Graduate Professional,Y,632550,Agriculture & Social Service
478,Rajya Sabha,Tripura,2022-2028,Biplab Kumar Deb,BJP,51,M,30368844,1315060,0,0,Graduate,Y,465950,Social Work
479,Rajya Sabha,Assam,2019-2025,Birendra Prasad Baishya,AGP,61,M,30256700,726880,0,0,Post Graduate,Y,570588,Social Service Activist
480,Lok Sabha,NCT of Delhi,Chandni Chowk,Harsh Vardhan,BJP,64,M,30171897,0,0,0,Post Graduate,Y,776152,"Member Of Parliament And Union Minister, Govt Of India"
481,Lok Sabha,Madhya Pradesh,Vidisha,Ramakant Bhargava,BJP,66,M,30032282,3332012,0,0,12th Pass,Y,1856630,Agriculture
482,Lok Sabha,Assam,Silchar,Rajdeep Roy,BJP,48,M,29901767,6976701,0,0,Post Graduate,Y,2975500,Orthopedic Surgeon
483,Lok Sabha,Kerala,Kannur,K Sudhakaran,INC,70,M,29699206,7468633,3,1,Post Graduate,Y,257918,Social Worker
484,Rajya Sabha,Bihar,2022-2028,Satish Chandra Dubey,BJP,47,M,29585088,6831700,1,0,12th Pass,Y,1939867,"Social & Poltical Activist , Dairy business & its product & Agriculture"
485,Lok Sabha,Maharashtra,Aurangabad,Imtiaz Jaleel Syed,AIMIM,50,M,29562768,6800000,4,3,Post Graduate,Y,1710890,Public Leader
486,Rajya Sabha,Odisha,2020-2026,Sujeet Kumar,BJD,44,M,29470530,7494382,0,0,Post Graduate,Y,1433376,"Lawyer, Social Entrepreneur, Consultant for Start-Ups"
487,Lok Sabha,Uttar Pradesh,Deoria,Ramapati Ram Tripathi,BJP,69,M,29451678,9310684,1,2,Graduate Professional,Y,275446,Doctor
488,Lok Sabha,Gujarat,Vadodara,Ranjanben Bhatt,BJP,56,F,29426428,0,0,0,12th Pass,Y,791252,Nil
489,Lok Sabha,Meghalaya,Tura,Agatha K. Sangma,NPP,38,F,29406813,0,0,0,Post Graduate,Y,0,Former Member of Parliament
490,Lok Sabha,Punjab,Hoshiarpur,Som Parkash,BJP,70,M,29404519,0,0,0,Post Graduate,Y,2325342,Retired I.A.S Officer & MLA From Phagwara
491,Lok Sabha,Bihar,Nalanda,Kaushlendra Kumar,JD(U),60,M,29251651,2712389,0,0,12th Pass,Y,1184190,MP
492,Lok Sabha,Bihar,Pataliputra,Ram Kripal Yadav,BJP,58,M,29213467,1717310,0,0,Graduate,Y,609308,Social Worker
493,Lok Sabha,West Bengal,Basirhat,Nusrat Jahan Ruhi,AITC,28,F,29088391,16881608,0,0,12th Pass,Y,2567125,Acting in Films and Commercials
494,Lok Sabha,Uttarakhand,Haridwar,Ramesh Pokhriyal Nishank,BJP,59,M,28739888,16444,0,0,Doctorate,Y,819939,Writing publication interest and Salary
495,Lok Sabha,Karnataka,Koppal,Karadi Sanganna Amarappa,BJP,64,M,28725791,22475333,1,0,10th Pass,Y,3891934,Agriculture
496,Rajya Sabha,Madhya Pradesh,2021-2024,Dr. L. Murugan,BJP,44,M,28696809,0,23,0,Doctorate,Y,2986150,Agriculture
497,Lok Sabha,Chhattisgarh,Kanker,Mohan Mandavi,BJP,61,M,28675553,679000,0,0,Post Graduate,Y,2995017,Agriculture and Pension
498,Lok Sabha,Uttar Pradesh,Nagina,Girish Chandra,BSP,55,M,28659644,9062600,1,0,12th Pass,Y,1040986,1/2 Shares In Bhojpur Filling Station Bhojpur
499,Lok Sabha,West Bengal,Uluberia,Sajda Ahmed,AITC,57,F,28351569,5322615,0,0,Graduate,Y,730628,Social Service & Business
500,Lok Sabha,Gujarat,Bardoli,Parbhubhai Nagarbhai Vasava,BJP,49,M,28350217,3676869,0,0,Others,Y,683234,Agriculture
501,Rajya Sabha,Gujarat,2018-2024,Mansukhbhai Mandaviya,BJP,45,M,27880194,1521905,0,0,Post Graduate,Y,622085,"Social Worker, Farming And Business"
502,Lok Sabha,Maharashtra,Solapur,Shri. Sha. Bra. Dr. Jay Siddeshwar Shivachrya Mahaswamiji,BJP,63,M,27870079,0,0,0,Graduate,N,0,Not Applicable
503,Lok Sabha,Jharkhand,Jamshedpur,Bidyut Baran Mahato,BJP,56,M,27750671,2961830,3,1,12th Pass,Y,1198760,Member Of Parliament
504,Lok Sabha,Chhattisgarh,Surguja,Renuka Singh Saruta,BJP,55,F,27682493,3251275,0,0,12th Pass,Y,519303,Agriculture and Business
505,Rajya Sabha,Rajasthan,2020-2026,K.c. Venugopal,INC,57,M,27614874,0,3,1,Post Graduate,Y,900000,Social Worker
506,Lok Sabha,West Bengal,Jaynagar,Pratima Mondal,AITC,53,F,27471675,0,0,0,Post Graduate,Y,1120104,Political (Member Of Parliament )
507,Lok Sabha,Jharkhand,Dhanbad,Pashupati Nath Singh,BJP,69,M,27286918,0,0,0,Graduate,Y,11315870,Poltician
508,Rajya Sabha,Uttar Pradesh,2020-2026,Bl Verma,BJP,59,M,27255192,2241237,0,0,Post Graduate,Y,2140716,Business and Agriculture
509,Lok Sabha,Maharashtra,Mumbai South,Arvind Sawant,Shiv Sena (Uddhav Balasaheb Thackeray),67,M,27181577,0,1,1,Graduate,Y,1218600,Member of Parliament and Trade Union Leader
510,Lok Sabha,Gujarat,Dahod,Jasvantsinh Sumanbhai Bhabhor,BJP,52,M,27070480,0,0,0,Graduate Professional,Y,852002,"Social Worker, Agriculture And Animal Husbandry"
511,Lok Sabha,Uttar Pradesh,Salempur,Ravinder,BJP,55,M,27031724,249400,0,0,12th Pass,Y,1937880,Agricuture
512,Lok Sabha,Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,BJP,69,F,26919330,1600000,6,8,Doctorate,Y,1951130,"Pension for Allahabad University, & Salary and allowances given to the Minister of State by the State Government"
513,Lok Sabha,Uttar Pradesh,Mirzapur,Anupriya Singh Patel,Apna Dal (Soneylal),37,F,26900662,1805603,2,2,Post Graduate,Y,612030,Social Service and MP
514,Lok Sabha,Madhya Pradesh,Mandla,Faggan Singh Kulaste,BJP,59,M,26702373,1000075,0,0,Post Graduate,Y,502590,Agriculture
515,Lok Sabha,West Bengal,Bardhaman Durgapur,Surendrajeet Singh Ahluwalia,BJP,67,M,26521750,744076,0,0,Graduate Professional,Y,0,"Minister,Governme nt of India"
516,Lok Sabha,West Bengal,Krishnanagar,Mahua Moitra,AITC,44,F,26495250,671138,0,0,Graduate,Y,999090,Public Service
517,Lok Sabha,Madhya Pradesh,Ujjain,Anil Firojiya,BJP,47,M,26417937,3203766,0,0,12th Pass,Y,910980,"Salary, Pension and Property Broker"
518,Rajya Sabha,Uttarakhand,2018-2024,Anil Baluni,BJP,47,M,26284410,1850962,0,0,Graduate,Y,120000,Social Worker
519,Lok Sabha,Kerala,Kottayam,Thomas Chazhikadan,Kerala Congress (M),66,M,26027478,495778,0,0,Graduate Professional,Y,1164350,Chartered Accountant
520,Lok Sabha,Jharkhand,Singhbhum,Geeta Kora,INC,35,F,25249018,1928508,1,0,Post Graduate,Y,470301,"Political Leader (MLA), Agriculture And Business"
521,Lok Sabha,Uttar Pradesh,Varanasi,Narendra Modi,BJP,68,M,25136119,0,0,0,Post Graduate,Y,1992520,Public Life & Political Activity
522,Rajya Sabha,Karnataka,2022-2028,Nirmala Sitharaman,BJP,62,F,25099396,3044838,0,0,Post Graduate,Y,808000,Union Minister
523,Rajya Sabha,Maharashtra,2018-2024,Ketkar Keshav Alias Kumar,INC,72,M,24916682,0,0,0,Graduate,Y,1848106,Journalist & Writer
524,Lok Sabha,Telangana,Warangal,Dayakar Pasnori,TRS,51,M,24889712,1428227,0,0,Graduate,Y,2121973,Business and agriculture
525,Lok Sabha,Chhattisgarh,Rajnandgaon,Santosh Pandey,BJP,51,M,24861970,1519820,0,0,Graduate Professional,Y,531876,Agriculture and Rent
526,Lok Sabha,Uttar Pradesh,Dhaurahra,Rekha Verma,BJP,45,F,24735488,7095916,3,4,12th Pass,Y,2944974,Agriculture & Business
527,Lok Sabha,Tamil Nadu,Tiruvallur,Dr.K.Jayakumar,INC,69,M,24583769,0,0,0,Doctorate,Y,210230,Agriculture
528,Lok Sabha,Uttar Pradesh,Ballia,Virendra Singh,BJP,62,M,24498319,0,2,2,Graduate,Y,614510,Agricuture
529,Lok Sabha,West Bengal,Jadavpur,Mimi Chakraborty,AITC,30,F,24398786,1900788,0,0,Graduate,Y,1539717,Performing Artist in Cinema & Televison
530,Rajya Sabha,Tamil Nadu,2019-2025,N. Chandrasegharan,AIADMK,64,M,24205770,4316116,0,0,Graduate,Y,1326755,Transport Contractor
531,Lok Sabha,Gujarat,Sabarkantha,Rathod Dipsinh Shankarsinh,BJP,67,M,23997443,0,0,0,8th Pass,Y,600000,Farming & MP
532,Lok Sabha,Gujarat,Surat,Jardosh Darshnaben Vikrambhai,BJP,58,F,23872876,0,0,0,Graduate,Y,695443,Social Worker
533,Rajya Sabha,Jharkhand,2022-2028,Aditya Prasad,BJP,58,M,23651189,1697784,0,0,Post Graduate,Y,482840,Social Service and Self Employed
534,Lok Sabha,Rajasthan,Bikaner,Arjun Ram Meghwal,BJP,65,M,23524459,1060314,0,0,Post Graduate,Y,1627363,Pension & Interest & MP Salary
535,Lok Sabha,Bihar,Supaul,Dileshwar Kamait,JD(U),73,M,23441606,0,2,2,Graduate,Y,767258,Agriculture & Pension
536,Rajya Sabha,Uttar Pradesh,2018-2024,Vijaypal Singh,BJP,66,M,23358255,0,1,0,Graduate Professional,Y,736060,Advocate
537,Rajya Sabha,Odisha,2020-2026,Muzibulla Khan,BJD,57,M,23357512,1400000,0,0,10th Pass,Y,746544,"Social Worker, Actor"
538,Lok Sabha,Madhya Pradesh,Dhar,Chhatar Singh Darbar,BJP,65,M,23198238,2471613,1,2,Post Graduate,Y,650940,"Agriculture, Pension Received as a Former MP"
539,Rajya Sabha,Telangana,2020-2026,K Keshava Rao,TRS,81,M,23145990,0,0,0,Doctorate,Y,2747620,"Social Service, Public Life"
540,Lok Sabha,Madhya Pradesh,Morena,Narendra Singh Tomar,BJP,61,M,23062224,6689767,1,0,Graduate,Y,1470843,Social Worker
541,Lok Sabha,Uttar Pradesh,Robertsganj,Pakauri Lal,Apna Dal (Soneylal),66,M,23048078,684133,0,0,Literate,Y,345810,Agriculture & Pension
542,Rajya Sabha,Gujarat,2018-2024,Naranbhai Rathwa,INC,54,M,22754992,1900000,2,1,Post Graduate,Y,432980,Political Leading & Farming
543,Lok Sabha,Odisha,Kendrapara,Anubhav Mohanty,BJD,37,M,22309172,4133506,0,0,Graduate,Y,2821852,"Business, Actor,Social Worker Sitting Member Of Parliament (Rajya- Sabha)"
544,Lok Sabha,Maharashtra,Mumbai North Central,Poonam Vajendla Rao,BJP,38,F,22242513,0,2,0,Others,Y,1000103,Politician
545,Lok Sabha,Uttar Pradesh,Kushi Nagar,Vijay Kumar Dubey,BJP,50,M,21860780,316847,2,5,12th Pass,Y,398500,"Agriculture, Pension"
546,Lok Sabha,Uttar Pradesh,Aonla,Dharmendra Kumar,BJP,50,M,21766502,3324300,0,0,10th Pass,Y,616780,Social Worker
547,Rajya Sabha,Bihar,2018-2024,Bashishtha Narayan Singh,JD(U),68,M,21698157,0,0,0,Post Graduate,Y,696230,Political Activist
548,Lok Sabha,Kerala,Kasaragod,Rajmohan Unnithan,INC,65,M,21570257,862257,1,0,Graduate,Y,0,SOCIAL WORKER
549,Lok Sabha,Madhya Pradesh,Tikamgarh,Virendra Kumar,BJP,65,M,21503766,1974216,0,0,Doctorate,Y,1360552,Social Worker ( Present Member of Lok Sabha)
550,Lok Sabha,Uttar Pradesh,"Rampur : Bye Election On 23-,Jun-22",Ghanshyam Singh Lodhi,BJP,55,M,21485502,6961860,0,0,10th Pass,Y,1229630,"Agriculture, Petrol Pump"
551,Rajya Sabha,Rajasthan,2018-2024,Kirodi Lal,BJP,66,M,21086768,5700000,7,0,Graduate Professional,Y,384267,"Agriculture, MLA"
552,Lok Sabha,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,YSRCP,57,M,21035766,11130148,4,7,Graduate Professional,Y,536782,"Advocate, Cultivation & Business"
553,Lok Sabha,Rajasthan,Ganganagar,Nihal Chand,BJP,48,M,21014362,3631287,0,0,Graduate,Y,1004790,MPs Salary & Agriculture
554,Lok Sabha,Assam,Autonomous District,Horen Sing Bey,BJP,49,M,20693570,5956209,2,12,Graduate,Y,1273379,Cultivator & Executive Member (KAAC)
555,Lok Sabha,Kerala,Chalakudy,Benny Behanan,INC,66,M,20461931,915938,4,0,Graduate,Y,175420,Social work
556,Lok Sabha,West Bengal,Bardhaman Purba,Sunil Kumar Mondal,AITC,61,M,20371283,148598,0,0,Graduate Professional,Y,1322880,Retired Teacher/Currently Sitting Member of Parliament
557,Lok Sabha,Madhya Pradesh,Rewa,Janardan Prasad Mishra,BJP,62,M,20359750,580627,0,0,Graduate Professional,Y,1343189,"Agriculture , Member of Parliament"
558,Lok Sabha,Tamil Nadu,Coimbatore,P R Natarajan,CPI(M),68,M,20284430,3234168,1,0,12th Pass,Y,293502,social worker
559,Rajya Sabha,West Bengal,2023-2029,Sukhendu Sekhar Ray,AITC,74,M,20220750,357944,1,0,Post Graduate,Y,1387990,Legal Practitioner and Member of Parliament (Rajya Sabha)
560,Lok Sabha,Bihar,Banka,Giridhari Yadav,JD(U),58,M,19816050,405701,1,1,Post Graduate,Y,410382,Salary and allowance
561,Lok Sabha,West Bengal,Bankura,Subhas Kumar Sarkar,BJP,65,M,19799440,3261495,1,0,Graduate Professional,Y,1587210,Doctor Medical Practitioner
562,Lok Sabha,Punjab,Faridkot,Mohammad Sadique,INC,79,M,19793884,311043,0,0,5th Pass,Y,1063392,Folk Singer
563,Lok Sabha,Telangana,Mahabubabad,Kavitha Malothu,TRS,39,F,19731269,1252068,1,2,Graduate,Y,411956,HOUSEHOLD
564,Lok Sabha,Rajasthan,Chittorgarh,Chandra Prakash,BJP,43,M,19725115,100000,0,0,Graduate,Y,702650,Agriculture & MP
565,Lok Sabha,Uttarakhand,Nainital- Udhamsingh Nagar,Ajay Bhatt,BJP,57,M,19699529,0,0,0,Graduate Professional,Y,553192,"Politician, Social Worker"
566,Lok Sabha,Maharashtra,Kalyan,Dr. Shrikant Eknath Shinde,SHS,32,M,19616515,1241233,1,1,Post Graduate,Y,2850161,Business
567,Lok Sabha,Manipur,Inner Manipur,Dr Rajkumar Ranjan Singh,BJP,67,M,19616174,0,0,0,Doctorate,Y,755751,"Retired Government Employee/ Director, College Development Council, Manipur University"
568,Rajya Sabha,West Bengal,2023-2029,Nagendra Ray Alias Anant Maharaj,BJP,64,M,19614965,0,2,1,8th Pass,Y,524830,Retired
569,Lok Sabha,Kerala,Malappuram : Bye Election On 06-04-2021,Abdussamad Samadani,IUML,62,M,19370167,0,0,0,Post Graduate,Y,660800,Ex MP (Rajyasabha) and Ex MLA (Kerala Legislative Assembly)
570,Lok Sabha,Bihar,Siwan,Kavita Singh,JD(U),33,F,19325264,412511,4,4,Post Graduate,Y,0,Social Service
571,Lok Sabha,Bihar,Darbhanga,Gopaljee Thakur,BJP,49,M,19301808,1039660,0,0,Post Graduate,Y,476547,Agriculture & Poltics
572,Rajya Sabha,Meghalaya,2020-2026,Wanweiroy Kharlukhi,NPP,63,M,19283700,0,0,0,Doctorate,Y,0,Self Employed
573,Lok Sabha,Uttar Pradesh,Shrawasti,Ram Shiromani,BSP,49,M,19108216,350000,0,0,Graduate Professional,Y,1785235,Business & Agriculture
574,Rajya Sabha,Tamil Nadu,2020-2026,P. Selvarasu,DMK,69,M,19087788,494410,1,1,8th Pass,Y,345440,Agriculturist &Real Estate Business
575,Lok Sabha,Maharashtra,Mumbai South Central,Rahul Ramesh Shewale,SHS,47,M,18881363,7778954,0,0,Others,Y,682476,Member Of Parliament
576,Rajya Sabha,Telangana,2018-2024,Badugula Lingaiah Yadav,TRS,60,M,18799369,2448343,0,0,Graduate Professional,Y,309000,Agricultural
577,Rajya Sabha,Karnataka,2018-2024,Syed Nasir Hussain,INC,47,M,18779578,576829,0,0,Doctorate,Y,963000,Business
578,Lok Sabha,Uttar Pradesh,Bulandshahr,Bhola Singh,BJP,42,M,18728861,0,1,1,Graduate,Y,1911858,Salary & Rent & Interst
579,Lok Sabha,Karnataka,Mysore,Prathap Simha,BJP,42,M,18723762,6586698,3,1,Post Graduate,Y,603937,Kannada newspaper-Writer
580,Lok Sabha,Maharashtra,Hingoli,Patil Hemant Shriram,SHS,48,M,18594458,1299983,0,0,Graduate,Y,1959025,Business
581,Lok Sabha,Bihar,Jamui,Chirag Kumar Paswan,LJP,37,M,18466066,0,1,0,Graduate Professional,Y,611597,M.P.( Loksabha) Social Sabha
582,Lok Sabha,Chhattisgarh,Janjgir Champa,Guharam Ajgalle,BJP,52,M,18400837,0,0,0,Graduate Professional,Y,0,Agriculture and Retd. Pension for ex-mp
583,Lok Sabha,Uttar Pradesh,Barabanki,Upendra Singh Rawat,BJP,51,M,18050127,3171774,1,1,Post Graduate,Y,701980,Parental Property and Member wages from legislative assembly
584,Rajya Sabha,West Bengal,2020-2026,Mausam Noor,AITC,40,F,17938009,840890,2,1,Graduate Professional,Y,1014450,"Advocate, Politician and Business"
585,Lok Sabha,Gujarat,Bhavnagar,Dr.Bharatiben Dhirubhai Shiyal,BJP,55,F,17753161,3689036,0,0,Graduate Professional,Y,589478,Medical Consultant
586,Lok Sabha,West Bengal,Ranaghat,Jagannath Sarkar,BJP,56,M,17622476,0,1,0,Graduate Professional,Y,828000,Service (Ass. Teacher)
587,Lok Sabha,Chhattisgarh,Mahasamund,Chunni Lal Sahu,BJP,51,M,17591683,1383014,0,0,Graduate,Y,413901,Farmer
588,Lok Sabha,Kerala,Kollam,Premachandran N K,Revolutiona ry Socialist Party,58,M,17500650,3270587,5,0,Graduate Professional,Y,432340,Advocate
589,Rajya Sabha,Tamil Nadu,2022-2028,Thiru. K.r.n.rajeshkumar,DMK,45,M,17455656,0,0,0,Post Graduate,Y,313660,"Agriculture, Business (Maize Trading) and Partnership in finance"
590,Lok Sabha,Andhra Pradesh,Chittoor,N. Reddeppa,YSRCP,68,M,17355862,1341542,0,0,Post Graduate,Y,975000,Advocate
591,Lok Sabha,Uttar Pradesh,Kairana,Pradeep Kumar,BJP,48,M,17292937,1300000,5,0,Post Graduate,Y,725910,"Social Service, Politics and Farmer"
592,Lok Sabha,Punjab,"Jalandhar : Bye Election On 10-,May-23",Sushil Kumar Rinku,AAP,47,M,17017402,6017461,0,0,12th Pass,Y,1147900,Business
593,Rajya Sabha,Odisha,2022-2028,Sulata Deo,BJD,49,F,16858463,346386,0,0,Graduate,Y,212050,"Social Worker, Educationalist"
594,Lok Sabha,Telangana,Peddapalle,Venkatesh Netha Borlakunta,TRS,42,M,16597300,0,0,0,Doctorate,Y,1169623,Agriculture (Earlier worked as Dy. Commissioner of Prohibition & Excise and resigned from service)
595,Lok Sabha,Bihar,"Samastipur (Sc),: Bye Election On 21-10-2019",Prince Raj,LJP,30,M,16568663,2009629,0,0,Post Graduate,Y,783410,"Business, Agriculture & Social Worker"
596,Lok Sabha,Madhya Pradesh,Sagar,Rajbahadur Singh,BJP,51,M,16416828,547428,1,0,Post Graduate,Y,250710,Rajbahadur Singh Agriculture & Commercial House & Honorarium of president
597,Lok Sabha,Madhya Pradesh,Guna,Krishna Pal Singh,BJP,43,M,16266408,494053,0,0,Graduate Professional,Y,640145,Clinic
598,Rajya Sabha,Uttar Pradesh,2020-2026,Ramji,BSP,43,M,15964940,861468,0,0,Post Graduate,Y,248000,Agriculture
599,Lok Sabha,Odisha,Jajpur,Sarmistha Sethi,BJD,45,F,15837082,0,0,0,Post Graduate,Y,1113415,"Retd.,Administrative Service Cadre Odisha, Social Service"
600,Lok Sabha,Uttar Pradesh,Muzaffarnagar,Sanjeev Kumar Balyan,BJP,46,M,15781189,2373645,1,0,Doctorate,Y,601667,Agriculture & Social Worker
601,Rajya Sabha,Tamil Nadu,2019-2025,Vaiko,MDMK,75,M,15768391,0,5,1,Post Graduate,Y,752704,Advocate and Agriculturalist
602,Lok Sabha,Himachal Pradesh,Shimla,Suresh Kumar Kashyap,BJP,48,M,15705738,7873806,0,0,Post Graduate,Y,1656520,Public Representive as M.L.A & Agriculturist
603,Rajya Sabha,West Bengal,2020-2026,Subrata Bakshi,AITC,69,M,15428967,137149,0,0,Graduate Professional,Y,2038110,Social Worker & Ex- Member of Parliament
604,Lok Sabha,Madhya Pradesh,Betul,Durga Das (D.D.) Uikey,BJP,55,M,15413532,875803,0,0,Post Graduate,Y,656568,Retired
605,Lok Sabha,Arunachal Pradesh,Arunachal West,Kiren Rijiju,BJP,47,M,15279000,0,0,0,Graduate Professional,Y,612700,Social Service
606,Lok Sabha,Kerala,Alappuzha,A M Ariff,CPI(M),54,M,15268906,2220700,2,0,Graduate Professional,Y,600000,Social Service
607,Lok Sabha,Uttar Pradesh,Etawah,Dr Ram Shankar Katheria,BJP,54,M,15154538,7304616,12,5,Doctorate,Y,929128,Principal
608,Lok Sabha,Uttarakhand,Garhwal,Tirath Singh Rawat,BJP,55,M,15032657,3500000,0,0,Post Graduate,Y,355480,"Social Worker, Agriculture"
609,Lok Sabha,Uttar Pradesh,Hathras,Rajvir Diler,BJP,61,M,14930000,0,0,0,12th Pass,Y,649107,MLA
610,Rajya Sabha,Chhattisgarh,2018-2024,Saroj Pandey,BJP,48,F,14859546,3488992,0,0,Doctorate,Y,690754,Former M.P Member Pansion
611,Lok Sabha,Uttar Pradesh,Fatehpur Sikri,Rajkumar Chahar,BJP,52,M,14854247,356404,3,4,Graduate,Y,376545,"Surya Medical Store c/o. Dr. Sunil Kohali narsing home Arjun Nagar, Agra"
612,Lok Sabha,Karnataka,Dakshina Kannada,Nalin Kumar Kateel,BJP,52,M,14678300,4450945,4,1,10th Pass,Y,621756,Member of Parliament
613,Lok Sabha,Odisha,Dhenkanal,Mahesh Sahoo,BJD,58,M,14529286,0,1,0,12th Pass,Y,174000,Member Of Odisha Legislative Assembly from Pallahara AC Cum Planing Committee Chairman Angul And Editor Ageiba(News Paper)
614,Lok Sabha,Assam,Tezpur,Pallab Lochan Das,BJP,41,M,14445139,0,0,0,Graduate,Y,1478860,Labour and Employment and Tea Tribes Welfare Minister Gov. of Assam
615,Lok Sabha,Assam,Lakhimpur,Pradan Baruah,BJP,53,M,14307978,5839285,0,0,12th Pass,Y,1474351,Social Worker and Farmer
616,Lok Sabha,Jharkhand,Ranchi,Sanjay Seth,BJP,60,M,14044267,100000,0,0,Graduate Professional,Y,1806420,Social Worker (Ex Chairman JKVIB)
617,Lok Sabha,West Bengal,Diamond Harbour,Abhishek Banerjee,AITC,31,M,13794320,0,0,0,Graduate,Y,7503130,Salaried
618,Lok Sabha,Assam,Kaliabor,Gaurav Gogoi,INC,36,M,13727834,1250000,0,0,Post Graduate,Y,707318,Member of parliament
619,Lok Sabha,Manipur,Outer Manipur,Lorho S. Pfoze,NPF,59,M,13709352,0,0,0,Graduate Professional,Y,0,SELF EMPLOYED
620,Rajya Sabha,Madhya Pradesh,2018-2024,Ajay Pratap Singh,BJP,50,M,13615025,250000,0,0,Post Graduate,Y,0,Income from Agriculture Land
621,Rajya Sabha,Himachal Pradesh,2022-2028,Dr Sikander Kumar,BJP,53,M,13586274,1521994,0,0,Doctorate,Y,2309770,"Professor (Ex-Vice Chancellor, Himachal Pradesh University)"
622,Lok Sabha,Chhattisgarh,Bilaspur,Arun Sao,BJP,51,M,13544588,50000,0,0,Graduate Professional,Y,1037950,Advocate
623,Lok Sabha,Uttar Pradesh,Meerut,Rajendra Agarwal,BJP,68,M,13489377,1990094,3,0,Post Graduate,Y,688347,MP Salary
624,Lok Sabha,Jharkhand,Giridih,Chandra Prakash Choudhary,AJSU Party,50,M,13456889,1330000,2,0,Graduate,Y,2133588,Social Service & Politics
625,Lok Sabha,Kerala,Idukki,Dean Kuriakose,INC,37,M,13395011,10000000,204,37,Post Graduate,Y,0,Advocate
626,Lok Sabha,Tamil Nadu,Mayiladuthurai,Ramalingam S,DMK,74,M,13355095,215000,0,0,Graduate,Y,251678,Agriculture
627,Lok Sabha,Bihar,Katihar,Dulal Chandra Goswami,JD(U),51,M,13302734,3130766,1,2,Graduate,Y,293990,Agriculture & Social Service
628,Lok Sabha,Uttar Pradesh,Sambhal,Dr. Shafiqur Rehman Barq,SP,86,M,13296671,0,0,0,Graduate,Y,0,Pension
629,Lok Sabha,West Bengal,Howrah,Prasun Banerjee,AITC,64,M,13216066,0,1,0,Graduate,Y,1241050,Social Worker
630,Rajya Sabha,Madhya Pradesh,2018-2024,Kailash Soni,BJP,67,M,13192901,42000,0,0,Graduate Professional,Y,0,Income from Mesa Baggage Fund and Agriculture Income
631,Lok Sabha,Gujarat,Kheda,Chauhan Devusinh,BJP,54,M,13023202,995240,0,0,Others,Y,607635,Farmer and Animal Husbandry
632,Lok Sabha,Assam,Kokrajhar,Naba Kumar Sarania,IND,50,M,13013994,175069,5,14,12th Pass,Y,3752284,nan
633,Rajya Sabha,Assam,2022-2028,Pabitra Mergherit,BJP,47,M,13008631,2497927,0,0,Others,Y,1194325,Cultural Activist
