mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900434,Ramchandra Prasad Singh,Elected,2016-08-07,2022-07-07,3,,3,20,1,Post Graduate,"B.A. (Hons.) in History, M.A. (International Relations) ; Educated at High School, Hussainpur, Nalanda, Science College, Patna University, Patna College, Patna University, Patna and Jawaharlal Nehru University, New Delhi",66,101.0,0.0,371.0,0.679775281,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 09-08-2024.",0.6040616135388421,0.6206992185330668,0.7127509817929413,2.220446049250313e-16,0.36754807116588856,0.0057325613024140736,0.3876775631015912,0.7177851863008557,0
900340,Nazir Ahmed Laway,Elected,,2021-02-15,1,,10,18,1,Graduate,B.A.,60,23.0,0.0,87.0,0.730077121, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.40326341845986036,0.367230679211463,0.3843309376614708,2.220446049250313e-16,0.1555267045639286,0.006996770731894546,0.05168134631636615,0.7201567142383043,0
900239,Krishan Lal Balmiki,Elected,2006-04-04,2010-04-21,1,,23,7,1,Inter/ Higher Secondary,"Higher Secondary Educated under Rajasthan Board of Secondary Education, Jaipur",81,8.0,0.0,44.0,0.666666667, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.035767043397789945,0.05220817525501591,0.08421792317889497,2.220446049250313e-16,0.023094580121632513,0.011840688923446282,0.10197134330436339,0.7425718854527124,0
900405,Rahul Bajaj,Elected,,2010-07-04,1,,15,13,1,Professional Post Graduate,"B.A.(Hons.), LL.B., M.B.A. Educated at Delhi University, Bombay University and Harvard University (U.S.A.)",85,17.0,0.0,57.0,0.882352941, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.04177060442622908,0.08720447461740635,0.09784992022572968,2.220446049250313e-16,0.028116785730934468,0.014320313702752207,0.12109371371012695,0.5703374042975264,0
900118,D. Kupendra Reddy,Elected,,2020-06-25,1,,12,19,1,Under Graduate,"Under Graduation Educated at V.V. Puram College, Bangalore",64,10.0,0.0,758.0,0.634567901, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.4163009887367802,0.43200559273247013,0.41395092872381517,2.220446049250313e-16,0.15375935564293508,0.03150993248620549,0.3462366642321749,0.4134315919373739,0
900034,Amar Singh (RS),Elected,,2020-08-01,2,,28,13,1,Professional Graduate,"B.A., LL.B. Educated at St. Xavier's College and University College of Law, Kolkata",68,27.0,0.0,355.0,0.531772575, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.5843691174435962,0.715578766917199,0.7782286353318967,2.220446049250313e-16,0.3094540796745555,0.06696413069895625,0.43946141302233754,0.7698466304986602,0
900077,Balavant alias Bal Apte,Elected,2006-03-04,2012-04-02,3,,15,7,1,Post Graduate,"M.A., LL.M. Educated at University of Mumbai, Mumbai",85,11.0,0.0,302.0,0.728506787, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.09920048305159677,0.1732892820415913,0.22714412518300542,2.220446049250313e-16,0.05749875944587462,0.025836491754296705,0.2609625558453352,0.5703374042975264,0
900149,Ganga Charan,Elected,,2012-04-02,1,,28,5,1,Professional Graduate,"BA, LLB",64,33.0,0.0,70.0,0.714285714, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.09746475756595353,0.1732892820415913,0.22714412518300542,2.220446049250313e-16,0.03789373952912684,0.038247855823054386,0.10114830663386466,0.7698466304986602,0
900242,Kusum Rai,Elected,,2014-11-25,1,,28,7,0,Inter/ Higher Secondary,,56,15.0,0.0,870.0,0.791237113, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.19332059886480052,0.30095114046297683,0.39007688929998074,2.220446049250313e-16,0.08191184760568064,0.05189416301343494,0.19009767607437736,0.7698466304986602,0
900236,Kiranmay Nanda,Elected,2012-03-04,2018-04-02,1,,28,37,1,Graduate,"Educated at Calcutta University, Kolkata",80,91.0,0.0,435.0,0.803357314, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.32581978253979543,0.38223232585392547,0.4244695666256741,2.220446049250313e-16,0.18621441539883538,0.024410569827509037,0.25332610766896596,0.7698466304986602,0
900276,Mamata Mohanta,Elected,2020-03-04,2024-07-31,1,,20,8,0,Graduate,"B.A. Educated at Shri Maa Mahila Mahavidyalaya, Utkal University, Baripada, Odisha",48,44.0,0.0,111.0,0.726829268, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.3688136691280461,0.2767461593160751,0.21112340561335521,2.220446049250313e-16,0.8121950128122759,0.1062073914627965,0.21358645791027017,0.5489634580367144,0
