mp_name,nature_membership,term_start_date,term_end_date,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note
Baijayant Jay Panda,Elected,18-May-09,In office,Kendrapara,Orissa,Biju Janata Dal,Male,Graduate,"Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",50,18.0,12.0,878.0,0.66, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Baju Ban Riyan,Elected,18-May-09,In office,Tripura East,Tripura,Communist Party of India (Marxist),Male,Graduate,"B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura",72,6.0,0.0,0.0,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bal Kumar Patel,Elected,18-May-09,In office,Mirzapur,Uttar Pradesh,Samajwadi Party,Male,Inter/ Higher Secondary,"Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh",50,11.0,0.0,280.0,0.8, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Baliram,Elected,18-May-09,In office,Lalganj,Uttar Pradesh,Bahujan Samaj Party,Male,Doctorate,"M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh",59,51.0,0.0,351.0,0.94, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Baliram Kashyap,Elected,18-May-09,09-03-2011,Bastar,Chhattisgarh,Bharatiya Janata Party,Male,Under Matric,,77,0.0,0.0,0.0,0.01,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Balkrishna Khanderao Shukla,Elected,18-May-09,In office,Vadodara,Gujarat,Bharatiya Janata Party,Male,Post Graduate,"B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat) ",50,27.0,1.0,254.0,0.65, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bansagopal Chowdhury,Elected,18-May-09,In office,Asansol,West Bengal,Communist Party of India (Marxist),Male,Graduate,"Educated at T.D.B. College, Raniganj, West Bengal",54,24.0,0.0,43.0,0.61, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bapiraju Kanumuri,Elected,18-May-09,In office,Narsapuram,Andhra Pradesh,Indian National Congress,Male,Inter/ Higher Secondary,Educated at Hyderabad Public School,66,11.0,0.0,0.0,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Basori Singh Masram,Elected,18-May-09,In office,Mandla,Madhya Pradesh,Indian National Congress,Male,Under Matric,"Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh",68,1.0,0.0,10.0,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Basudeb Acharia,Elected,18-May-09,In office,Bankura,West Bengal,Communist Party of India (Marxist),Male,Post Graduate,"M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal",71,143.0,7.0,218.0,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Beni Prasad Verma,Elected,18-May-09,In office,Gonda,Uttar Pradesh,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",73,2.0,0.0,0.0,0.99,"This MP was appointed a minister in Jan, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th Dec, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
Bhajan Lal,Elected,18-May-09,03-06-2011,Hisar,Haryana,Haryana Janhit Congress,Male,Inter/ Higher Secondary,"Educated at Government College, Bahawal Nagar (Now in Pakistan) ",83,0.0,0.0,0.0,0.39, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bhakta Charan Das,Elected,18-May-09,In office,Kalahandi,Orissa,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa) ",55,51.0,1.0,252.0,0.9, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bharat Ram Meghwal,Elected,18-May-09,In office,Ganganagar,Rajasthan,Indian National Congress,Male,Graduate,"B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota",58,18.0,0.0,200.0,0.9, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bharatsinh Madhavsinh Solanki,Elected,18-May-09,In office,Anand,Gujarat,Indian National Congress,Male,Graduate,B.E. (Civil); Educated at Birla Vishwakarma Mahavidyalay,60,,,,#VALUE!,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
Bhartruhari Mahtab,Elected,18-May-09,In office,Cuttack,Orissa,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",56,234.0,1.0,395.0,0.94, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bhavana Pundlikrao Gawali Patil,Elected,18-May-09,In office,Yavatmal-Washim,Maharashtra,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",40,19.0,0.0,360.0,0.67, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
"Bhismashankar, Alias Kushal Tiwari",Elected,18-May-09,In office,Sant Kabir Nagar,Uttar Pradesh,Bahujan Samaj Party,Male,Inter/ Higher Secondary,,53,45.0,0.0,537.0,0.79, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bhola Singh,Elected,18-May-09,In office,Nawada,Bihar,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",79,104.0,10.0,398.0,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bhoopendra Singh,Elected,18-May-09,13-12-2013,Sagar,Madhya Pradesh,Bharatiya Janata Party,Male,Graduate,L.L.B.; Educated at Sagar University (Madhya Pradesh) ,53,27.0,4.0,625.0,0.7, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bhudeo Choudhary,Elected,18-May-09,In office,Jamui,Bihar,Janata Dal (United),Male,Graduate,"B.A., LL.B.; Educated at T.N.V. Law College, Bhagalpur",54,35.0,0.0,448.0,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bibhu Prasad Tarai,Elected,18-May-09,In office,Jagatsinghpur,Orissa,Communist Party of India,Male,Post Graduate,"M.A., LL.B.; Madhusudan Law College, Cuttack and Utkal University, Bhubaneshwar, Orissa",49,26.0,0.0,224.0,0.82, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bijoy Krishna Handique,Elected,18-May-09,In office,Jorhat,Assam,Indian National Congress,Male,Post Graduate,"M.A.; Educated at Calcutta University, Calcutta (West Bengal) ",79,0.0,0.0,1.0,0.92,"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
Bijoya Chakravarty,Elected,18-May-09,In office,Gauhati,Assam,Bharatiya Janata Party,Female,Post Graduate,"M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",74,37.0,4.0,53.0,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Biren Singh Engti,Elected,18-May-09,In office,Autonomous District,Assam,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Guwahati University, Assam",68,2.0,0.0,0.0,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Bishnu Pada Ray,Elected,18-May-09,In office,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",63,82.0,1.0,221.0,0.76, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Brij Bhushan Sharan Singh,Elected,18-May-09,In office,Kaiserganj,Uttar Pradesh,Samajwadi Party,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",57,20.0,0.0,183.0,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
C. L. Ruala,Elected,18-May-09,In office,Mizoram,Mizoram,Indian National Congress,Male,Post Graduate,"B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",78,2.0,0.0,12.0,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
C. M. Chang,Elected,18-May-09,21-09-2013,Nagaland,Nagaland,Nagaland People's Front,Male,Graduate,"B.A; Educated at High School, Mokochung, Nagaland and St. Edmund`s College Shillong, Guwahati University",70,1.0,0.0,33.0,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
C. P. Joshi,Elected,18-May-09,In office,Bhilwara,Rajasthan,Indian National Congress,Male,Doctorate,"M.Sc. (Physics.), M.A. (Psychology), L.LB. Ph.D.; Educated at M.B. College, Udaipur, Rajasthan",63,0.0,0.0,0.0,0.95,"This MP was a Minister. He tendered his resignation on 16th Jun, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 5th Aug, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
C. R. Patil,Elected,18-May-09,In office,Navsari,Gujarat,Bharatiya Janata Party,Male,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",58,22.0,2.0,468.0,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
C. Rajendran,Elected,18-May-09,In office,Chennai South,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A., B.L.; Educated at Madras Law College",53,48.0,0.0,411.0,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
C. Sivasami,Elected,18-May-09,In office,Tiruppur,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.; Madurai Kamraj University (Tamil Nadu) ,56,58.0,0.0,700.0,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Chandra Sekhar Kalva Kuntla Rao,Elected,18-May-09,In office,Mahabubnagar,Andhra Pradesh,Telangana Rashtra Samithi,Male,Post Graduate,"M.A. (Litt); Educated at Osmania University, Hyderabad, Andhra Pradesh",60,2.0,0.0,0.0,0.13,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Chandrakant Bhaurao Khaire,Elected,18-May-09,In office,Aurangabad,Maharashtra,Shiv Sena,Male,Graduate,"B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",62,48.0,5.0,725.0,0.73, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Chandresh Kumari Katoch,Elected,18-May-09,In office,Jodhpur,Rajasthan,Indian National Congress,Female,Under Graduate,"Educated at Nazrath Convent School, St. Mary`s School, Puna, St. Hildas School, Ooty Educated at St. Hildas-Ooty",70,5.0,0.0,42.0,0.78,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
Chandu Lal Sahu,Elected,18-May-09,In office,Mahasamund,Chhattisgarh,Bharatiya Janata Party,Male,Graduate,"B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",54,16.0,0.0,68.0,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Charan Das Mahant,Elected,18-May-09,In office,Korba,Chhattisgarh,Indian National Congress,Male,Doctorate,"M.Sc., M.A., LL.B., Ph.D.; Educated at Motilal Vigyan Mahavidhyalay, Bhopal University and Barkatulla University, Bhopal (Madhya Pradesh) ",59,15.0,0.0,132.0,0.93,"This MP was appointed a minister in Jul, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th Mar, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
Charles Dias,Nominated,18-Sep-09,In office,,,Indian National Congress,Male,Doctorate,"M.A., Ph.D, Diploma in Office Management, Diploma in Personnel Management and Diploma in Labour Law; Educated at University of Calicut and Annamalai University",63,72.0,0.0,160.0,0.98, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Chaudhary Lal Singh,Elected,18-May-09,In office,Udhampur,Jammu and Kashmir,Indian National Congress,Male,Graduate,"B.A.; Educated at Government Degree College, Kathua,; Jammu and Kashmir",55,84.0,0.0,261.0,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Chinta Mohan,Elected,18-May-09,In office,Tirupati,Andhra Pradesh,Indian National Congress,Male,Graduate,"M.B.B.S; Educated at Srivenkateswara Medical College, Tirupati (Andhra Pradesh) ",59,5.0,0.0,18.0,0.8, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Choudhury Mohan Jatua,Elected,18-May-09,In office,Mathurapur,West Bengal,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,75,0.0,0.0,0.0,0.34,"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
D. Napoleon,Elected,18-May-09,In office,Perambalur,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (History); Educated at St. Joseph's College, Trichy",50,0.0,0.0,0.0,0.04,"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
D.B. Chandre Gowda,Elected,18-May-09,In office,Bangalore North,Karnataka,Bharatiya Janata Party,Male,Post Graduate,"B.Sc, LL.B., Educated at Mudigere High School, Intermediate College Chikmagalur, Renukacharya College, Bangalore and R. L. Law College, Belgaum",77,7.0,0.0,750.0,0.59, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
D.K. Suresh,Elected,26-Aug-13,In office,Bangalore Rural,Karnataka,Indian National Congress,Male,Inter/ Higher Secondary,Information not available,47,0.0,0.0,12.0,1, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
D.V. Sadananda Gowda,Elected,18-May-09,29-12-2011,Udupi Chikmagalur,Karnataka,Bharatiya Janata Party,Male,Graduate,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",60,17.0,0.0,72.0,0.42, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Daggubati Purandeswari,Elected,18-May-09,In office,Visakhapatnam,Andhra Pradesh,Indian National Congress,Female,Graduate,B.A. (Literature) and Graduate in Gemology; Educated at South Indian Educational Trust and; Women College (Chennai) and Gemological Institute of India,54,,,,#VALUE!,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
Danapal Venugopal,Elected,18-May-09,In office,Tiruvannamalai,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,"Educated at Danish Mission High School, Tiruvannamalai, Tamil Nadu",82,27.0,0.0,5.0,0.66, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Dara Singh Chauhan,Elected,18-May-09,In office,Ghosi,Uttar Pradesh,Bahujan Samaj Party,Male,Graduate,,50,130.0,0.0,92.0,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Darshana Vikram Jardosh,Elected,18-May-09,In office,Surat,Gujarat,Bharatiya Janata Party,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",53,71.0,0.0,337.0,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Datta Raghobaji Meghe,Elected,18-May-09,In office,Wardha,Maharashtra,Indian National Congress,Male,Graduate,"B.A.; Educated at Nagpur University, Nagpur (Maharashtra) ",77,59.0,0.0,308.0,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Davidson J. Helen,Elected,18-May-09,In office,Kanniyakumari,Tamil Nadu,Dravida Munnetra Kazhagam,Female,Post Graduate,"M.Sc. (Math), B.Ed; Manomanian Sundaranar University and Annamalai University",42,47.0,0.0,193.0,0.82, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Dayanidhi Maran,Elected,18-May-09,In office,Chennai Central,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Loyola College, Chennai (Tamil Nadu) ",47,1.0,0.0,0.0,0.62,"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
Deepa Dashmunsi,Elected,18-May-09,In office,Raiganj,West Bengal,Indian National Congress,Female,Post Graduate,"M.A. (Dramatics); Educated at Rabindra Bharati University, West Bengal",52,9.0,0.0,328.0,0.79,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)"
Deepender Singh Hooda,Elected,18-May-09,In office,Rohtak,Haryana,Indian National Congress,Male,Post Graduate,"B.Tech., M.B.A.; Educated at University at Birla Institute, M.D. University, Rohtak (Haryana) and Kelley School of Business, Indiana University, Bloomington, USA",36,16.0,1.0,83.0,0.81, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Deoraj Singh Patel,Elected,18-May-09,In office,Rewa,Madhya Pradesh,Bahujan Samaj Party,Male,Post Graduate,"M.A., LL.B.; Educated at Avadesh Pratap Singh University, Rewa, Madhya Pradesh",45,11.0,0.0,112.0,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Devendra Nagpal,Elected,18-May-09,In office,Amroha,Uttar Pradesh,Rashtriya Lok Dal,Male,Graduate,"Educated at KGK College, Moradabad, Uttar Pradesh",43,9.0,0.0,43.0,0.53, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Devidhan Besra,Elected,18-May-09,In office,Rajmahal,Jharkhand,Bharatiya Janata Party,Male,Matric,"Educated at Paligram Vidya Mandir, Birbhum",74,2.0,0.0,0.0,0.69, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Devji Patel,Elected,18-May-09,In office,Jalore,Rajasthan,Bharatiya Janata Party,Male,Matric,,37,109.0,0.0,420.0,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Dhananjay Singh,Elected,18-May-09,In office,Jaunpur,Uttar Pradesh,Bahujan Samaj Party,Male,Post Graduate,M.A.(Political Science),38,52.0,0.0,241.0,0.65, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Dharmendra Yadav,Elected,18-May-09,In office,Badaun,Uttar Pradesh,Samajwadi Party,Male,Post Graduate,"M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh",35,19.0,0.0,973.0,0.72, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Dhruva Narayana Rangaswamy,Elected,18-May-09,In office,Chamrajanagar,Karnataka,Indian National Congress,Male,Post Graduate,"M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore",52,71.0,0.0,666.0,0.76, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Digvijay Singh,Elected,18-May-09,24-06-2010,Banka,Bihar,Independent,Male,Post Graduate,"M.A., M. Phil.; Educated at Patna University, Patna and Jawaharlal Nehru University, New Delhi and Tokyo University (Japan) ",58,2.0,0.0,0.0,0.77, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
Dilip Kumar Mansukhlal Gandhi,Elected,18-May-09,In office,Ahmednagar,Maharashtra,Bharatiya Janata Party,Male,Matric,"S.S.C.; Educated at Pune University, Pune (Maharashtra)",62,48.0,0.0,278.0,0.68, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)
