mp_name,nature_membership,term_start_date,term_end_date,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note
Bhupathiraju Srinivasa Varma,Elected,09-06-2024,In Office,Narsapuram,Andhra Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,M.A. (Politics) 1999 from Andhra University,57,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Chandra Sekhar Pemmasani,Elected,09-06-2024,In Office,Guntur,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"M.D. Internal Medicine at Geisinger Medical Center in Danville, Pennsylvania, USA 2005",48,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Maddila Gurumoorthy,Elected,09-06-2024,In Office,Thirupati,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"Bachelor of Physiotherapy from Sri Venkateswara Institute of Medical science, Tirupati 2004-2008",39,6.0,1.0,19.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Kinjarapu Rammohan Naidu,Elected,09-06-2024,In Office,Srikakulam,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"MBA from Island University, New York, USA, Year 2011",36,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Kiren Rijiju,Elected,09-06-2024,In Office,Arunachal West,Arunachal Pradesh,Bharatiya Janata Party,Male,Graduate,L.L.B. from Law Faculty of University of Delhi in year 1998,52,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Sarbananda Sonowal,Elected,09-06-2024,In Office,Dibrugarh,Assam,Bharatiya Janata Party,Male,Graduate,"LLB G. U. Law College, Gauhati University, Guwahati",61,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Alok Kumar Suman,Elected,09-06-2024,In Office,Gopalganj,Bihar,Janata Dal (United),Male,Post Graduate and above,"Master of Surgery from PMCH, Patna University in year 1991",67,12.0,3.0,27.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Chirag Paswan,Elected,09-06-2024,In Office,Hajipur,Bihar,Lok Janshakti Party (Ram Vilas),Male,Graduate,"B.Tech (IInd Semester) from Bundelkhand University, Jhansi in year 2005",41,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Giriraj Singh,Elected,09-06-2024,In Office,Begusarai,Bihar,Bharatiya Janata Party,Male,Graduate,"B.A. from Magadh University, 1971",71,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Janardan Singh Sigriwal,Elected,09-06-2024,In Office,Maharajganj,Bihar,Bharatiya Janata Party,Male,Graduate,"B.A, Bihar University, Muzaffarpur, 1980",65,8.0,3.0,21.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Jitan Ram Manjhi,Elected,09-06-2024,In Office,Gaya,Bihar,Hindustani Awam Morcha (Secular),Male,Graduate,"Graduate (Hons.) from Gaya College, Magadh University, Bodh Gaya in year 1966",79,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Nityanand Rai,Elected,09-06-2024,In Office,Ujiarpur,Bihar,Bharatiya Janata Party,Male,Graduate,"B.A. Hons from RN College, Bihar University, Muzaffarpur, 1986",58,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Raj Bhushan Choudhary,Elected,09-06-2024,In Office,Muzaffarpur,Bihar,Bharatiya Janata Party,Male,Post Graduate and above,"M.D. from Darbhanga Medical College, Laheriasarai",47,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Rajiv Pratap Rudy,Elected,09-06-2024,In Office,Saran,Bihar,Bharatiya Janata Party,Male,Post Graduate and above,"M.A. (Economics) from Magadh University, Bodh Gaya in year 1987",62,4.0,3.0,21.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Rajiv Ranjan Singh,Elected,09-06-2024,In Office,Munger,Bihar,Janata Dal (United),Male,Graduate,"B.A. (Hons.), TNB College, Bhagalpur University, Year 1976",69,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Tokhan Sahu,Elected,09-06-2024,In Office,Bilaspur,Chhattisgarh,Bharatiya Janata Party,Male,Post Graduate and above,"M.Com. from SNG College Mungeli, Gurughasidas University Bilaspur in 1996",54,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Shripad Yesso Naik,Elected,09-06-2024,In Office,North Goa,Goa,Bharatiya Janata Party,Male,Graduate,"B.A. from Dempo College of Arts and Science, Bombay University in 1978",71,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Amit Shah,Elected,09-06-2024,In Office,Gandhinagar,Gujarat,Bharatiya Janata Party,Male,Graduate,"B.Sc. (2nd year) from Gujarat College, Gujarat University, Ahmedabad",59,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Chandrakant Raghunath Patil,Elected,09-06-2024,In Office,Navsari,Gujarat,Bharatiya Janata Party,Male,Upto Higher Secondary,ITI from Surat in year 1974,69,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Mansukh Mandaviya,Elected,09-06-2024,In Office,Porbandar,Gujarat,Bharatiya Janata Party,Male,Post Graduate and above,"Ph.D from Maharaja Krishnakumarsinhji University, Bhavnagar in year 2021",52,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Nimuben Jayantibhai Bambhaniya,Elected,09-06-2024,In Office,Bhavnagar,Gujarat,Bharatiya Janata Party,Female,Graduate,"B.Ed. from Bhavnagar University in 2002, B.Sc from Bhavnagar University in 1990",57,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Rao Inderjit Singh,Elected,09-06-2024,In Office,Gurgaon,Haryana,Bharatiya Janata Party,Male,Graduate,"BA Hons, Delhi University, 1971, LLB, Delhi University, 1974",74,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Krishan Pal Gurjar,Elected,09-06-2024,In Office,Faridabad,Haryana,Bharatiya Janata Party,Male,Graduate,LL.B. from Meerut University in 1986,67,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Manohar Lal,Elected,09-06-2024,In Office,Karnal,Haryana,Bharatiya Janata Party,Male,Graduate,"Graduate, Delhi University, 1975",70,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Jitendra Singh,Elected,09-06-2024,In Office,Udhampur,Jammu and Kashmir,Bharatiya Janata Party,Male,Post Graduate and above,"M.D. from Govt. Medical College, Jammu, University of Jammu in year 1984",67,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Rajkumar Chahar,Elected,09-06-2024,In Office,Fatehpur Sikri,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"B.Com. from Dr. B.R. Ambedkar University, Agra in year 1987-88",57,5.0,1.0,7.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Annpurna Devi,Elected,09-06-2024,In Office,Kodarma,Jharkhand,Bharatiya Janata Party,Female,Post Graduate and above,"P.G. (History) from Ranchi University, Ranchi",54,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Nishikant Dubey,Elected,09-06-2024,In Office,Godda,Jharkhand,Bharatiya Janata Party,Male,Post graduate and above,"Doctor of Philosophy in Management, Pratap University, Rajasthan, 2018 -Topic: ""Emerging issue of Rural Poverty in India: A Micro View""",55,14.0,3.0,30.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Sanjay Seth,Elected,09-06-2024,In Office,Ranchi,Jharkhand,Bharatiya Janata Party,Male,Graduate,"Bachelor of Law, R.U. 1983",64,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
H D Kumaraswamy,Elected,09-06-2024,In Office,Mandya,Karnataka,Janata Dal (Secular),Male,Graduate,"B.Sc. from National College, Jayanagar, Bangalore University in year 1978-79",64,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Pralhad Joshi,Elected,09-06-2024,In Office,Dharwad,Karnataka,Bharatiya Janata Party,Male,Graduate,B.A from Karnataka University in 1983,61,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Shobha Karandlaje,Elected,09-06-2024,In Office,Bangalore North,Karnataka,Bharatiya Janata Party,Female,Post Graduate and above,"M.A. (Social Service) from Open University, Mysore University in year 1996",57,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
V Somanna,Elected,09-06-2024,In Office,Tumkur,Karnataka,Bharatiya Janata Party,Male,Graduate,"BA, VV Puram Evening College, Vishveshwarapuram, Bengaluru 1971-1974",73,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Benny Behanan,Elected,09-06-2024,In Office,Chalakudy,Kerala,Indian National Congress,Male,Graduate,"B.Com. from Sree Sankara College, Kalady, Kerala University in year 1971-72",71,3.0,2.0,29.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Dean Kuriakose,Elected,09-06-2024,In Office,Idukki,Kerala,Indian National Congress,Male,Post Graduate and above,"M.A. (Politics and Human Rights) from School of International Relations and Politics, MG University, Kottayam in year 2013",43,11.0,3.0,25.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Hibi Eden,Elected,09-06-2024,In Office,Ernakulam,Kerala,Indian National Congress,Male,Graduate,"B.Com. from Sacred Heart College, Thevara, Mahathma Gandhi University in year 2003-04",41,10.0,3.0,27.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
N K Premachandran,Elected,09-06-2024,In Office,Kollam,Kerala,Revolutionary Socialist Party,Male,Graduate,"L.L.B. from Govt. Law College, Thiruvananthapuram, University of Kerala in year 1985",64,17.0,3.0,16.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Shafi Parambil,Elected,09-06-2024,In Office,Vadakara,Kerala,Indian National Congress,Male,Post Graduate and above,"M.B.A. from West Fort College, Thrissur, Calicut University in year 2009",41,5.0,2.0,23.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Shashi Tharoor,Elected,09-06-2024,In Office,Thiruvananthapuram,Kerala,Indian National Congress,Male,Post Graduate and above,"Ph.D. in Law and Diplomacy from Fletcher School of Law and Diplomacy, Tufts University, USA in year 1978",68,5.0,3.0,22.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Suresh Gopi,Elected,09-06-2024,In Office,Thrissur,Kerala,Bharatiya Janata Party,Male,Post Graduate and above,"M.A. (English) from Fatima Mata National College, Kollam, Kerala University in year 1982",66,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
V K Sreekandan,Elected,09-06-2024,In Office,Palakkad,Kerala,Indian National Congress,Male,Graduate,"B.A. (History) from Shobhit University, Meerut in year 2013",54,8.0,3.0,24.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Mohmad Haneefa,Elected,09-06-2024,In Office,Ladakh,Ladakh,Independent,Male,Upto Higher Secondary,Matric pass from J&K Board,55,2.0,0.0,7.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Durgadas D D Uikey,Elected,09-06-2024,In Office,Betul,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,"M.A. from Barkatullah Vishwavidyalaya, Bhopal in year 2003",60,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Abhay Kumar Sinha,Elected,09-06-2024,In Office,Aurangabad,Bihar,Rashtriya Janata Dal,Male,Upto Higher Secondary,12th Passed from Gaya College in year 1988,52,10.0,0.0,8.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Jyotiraditya M Scindia,Elected,09-06-2024,In Office,Guna,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,"M.B.A. from Stanford University, Graduate School of Business, Palo Alto, CA, USA in year 2001",53,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Savitri Thakur,Elected,09-06-2024,In Office,Dhar,Madhya Pradesh,Bharatiya Janata Party,Female,Upto Higher Secondary,"Higher Secondary from Urdu Education Board, Vidyarthi Academy, Indore, 2018",46,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Shivraj Singh Chouhan,Elected,09-06-2024,In Office,Vidisha,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,"M.A. (Philosophy) from Hamidia College Bhopal, Bhopal University in year 1982-83",65,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Virendra Kumar,Elected,09-06-2024,In Office,Tikamgarh,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,Ph.D. from Dr. Hari Singh Gour University in year 2007,70,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Prataprao Ganpatrao Jadhav,Elected,09-06-2024,In Office,Buldhana,Maharashtra,Shiv Sena,Male,Upto Higher Secondary,"B.A. (Part-I) from Shivaji Senior College, Chikhli, Maharashtra",63,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Murlidhar Mohol,Elected,09-06-2024,In Office,Pune,Maharashtra,Bharatiya Janata Party,Male,Graduate,"Bachelor of Arts from Shivaji University, Kolhapur in 1999",49,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Nitin Jairam Gadkari,Elected,09-06-2024,In Office,Nagpur,Maharashtra,Bharatiya Janata Party,Male,Graduate,"L.L.B. from University College of Law, Nagpur in year 1982",67,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Piyush Vedprakash Goyal,Elected,09-06-2024,In Office,Mumbai North,Maharashtra,Bharatiya Janata Party,Male,Post Graduate and above,"C.A. from the Institute of Chartered Accountants of India, 1987",60,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Praniti Sushilkumar Shinde,Elected,09-06-2024,In Office,Solapur,Maharashtra,Indian National Congress,Female,Graduate,"L.L.B. from Govt. Law College, Mumbai University in 2004",43,9.0,1.0,13.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Raksha Nikhil Khadse,Elected,09-06-2024,In Office,Raver,Maharashtra,Bharatiya Janata Party,Female,Graduate,"B.Sc. from G.G. Khadse College, North Maharashtra University, Jalagaon, 2010",37,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Shrikant Eknath Shinde,Elected,09-06-2024,In Office,Kalyan,Maharashtra,Shiv Sena,Male,Post Graduate and above,"Master of Surgery Orthopedics, 2015, dr. D.Y. Patil university, Navi Mumbai",37,6.0,3.0,39.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Shrirang Appa Chandu Barne,Elected,09-06-2024,In Office,Maval,Maharashtra,Shiv Sena,Male,Upto Higher Secondary,"10th Passed from Fattechand Jain Vidyalaya, Chinchwad, SSC Board Pune, Maharashtra in year 2022",60,8.0,3.0,46.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Smita Uday Wagh,Elected,09-06-2024,In Office,Jalgaon,Maharashtra,Bharatiya Janata Party,Female,Graduate,"B.A. (Psychology) from Pune University, 1989",56,9.0,2.0,35.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Dharmendra Pradhan,Elected,09-06-2024,In Office,Sambalpur,Odisha,Bharatiya Janata Party,Male,Post Graduate and above,"MA (Anthropology), Utkal University, Vani Nihar, Bhubaneswar, Odisha, 1990",55,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Jual Oram,Elected,09-06-2024,In Office,Sundargarh,Odisha,Bharatiya Janata Party,Male,Upto Higher Secondary,"Diploma in Electrical Engineering from U.G.I.E., Rourkela, 1982",63,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Arjun Ram Meghwal,Elected,09-06-2024,In Office,Bikaner,Rajasthan,Bharatiya Janata Party,Male,Post Graduate and above,M.A. from University of Rajasthan in year 1979,70,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Jyotsna Charandas Mahant,Elected,09-06-2024,In Office,Korba,Chhattisgarh,Indian National Congress,Female,Post Graduate and above,"M.Sc Zoology from Bhopal University in 1976, B.Sc from Bhopal University in 1974",70,2.0,0.0,13.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Bhagirath Choudhary,Elected,09-06-2024,In Office,Ajmer,Rajasthan,Bharatiya Janata Party,Male,Upto Higher Secondary,"HIgher Secondary from Board of Secondary Education, Ajmer, Rajasthan in year 1972",70,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Bhupender Yadav,Elected,09-06-2024,In Office,Alwar,Rajasthan,Bharatiya Janata Party,Male,Graduate,"Bachelor of Law (LLB) - 1993 Government College, Ajmer (University of Ajmer)",55,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Gajendra Singh Shekhawat,Elected,09-06-2024,In Office,Jodhpur,Rajasthan,Bharatiya Janata Party,Male,Post Graduate and above,M.A. from Jodhpur University in year 1989,56,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
P P Chaudhary,Elected,09-06-2024,In Office,Pali,Rajasthan,Bharatiya Janata Party,Male,Graduate,LLB from Jodhpur University in year 1978,71,10.0,3.0,31.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
C N Annadurai,Elected,09-06-2024,In Office,Tiruvannamalai,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,B.Com. from University of Chennai in year 1995,51,12.0,3.0,39.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
D M Kathir Anand,Elected,09-06-2024,In Office,Vellore,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Post Graduate and above,"M.B.A. from Baldwin and Wallace College, USA Baldwin and Wallace University in year 1997, B.Com from Loyola College, Chennai University of Madras 1995",49,12.0,3.0,26.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Navaskani K,Elected,09-06-2024,In Office,Ramanathapuram,Tamil Nadu,Indian Union Muslim League,Male,Upto Higher Secondary,"Higher Secondary Board Examination, SBK Higher Secondary School, Aruppukottai, Tamil Nadu, 1996",45,166.0,3.0,37.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
T Sumathy Alias Thamizhachi Thangapandian,Elected,09-06-2024,In Office,Chennai South,Tamil Nadu,Dravida Munnetra Kazhagam,Female,Post Graduate and above,Ph.D. from University of Madras in year 2010,62,20.0,2.0,24.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
G Kishan Reddy,Elected,09-06-2024,In Office,Secunderabad,Telangana,Bharatiya Janata Party,Male,Upto Higher Secondary,"Diploma in Tool Designs from Central Institute of Tool Designs, Balanagar, Hyderabad in 1975-78",64,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Bandi Sanjay Kumar,Elected,09-06-2024,In Office,Karimnagar,Telangana,Bharatiya Janata Party,Male,Post Graduate and above,"M.A. public administration from Madhurai Khamaraj University, Tamil Nadu",53,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Anupriya Patel,Elected,09-06-2024,In Office,Mirzapur,Uttar Pradesh,Apna Dal (Soneylal),Female,Post Graduate and above,"MBA, CSJM University, Kanpur, 2010",43,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Chandra Shekhar,Elected,09-06-2024,In Office,Nagina,Uttar Pradesh,Aazad Samaj Party (Kanshi Ram),Male,Graduate,LLB From Hemwati Nandan Bahuguna Garhwal University Year 2012,36,14.0,3.0,13.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Jitin Prasada,Elected,09-06-2024,In Office,Pilibhit,Uttar Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,"M.B.A. from IMI, New Delhi in year 1996",50,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Kamlesh Paswan,Elected,09-06-2024,In Office,Bansgaon,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"BA, D.D.U University, Gorakhpur, 2012",48,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Kirti Vardhan Singh,Elected,09-06-2024,In Office,Gonda,Uttar Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,"M.Sc. (Geology), Lucknow University, U.P (1988)",58,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Narendra Modi,Elected,09-06-2024,In Office,Varanasi,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"BA, Delhi University, Delhi, 1978; MA, Gujarat University, Ahmedabad, 1983",73,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Pankaj Choudhary,Elected,09-06-2024,In Office,Maharajganj,Uttar Pradesh,Bharatiya Janata Party,Male,Upto Higher Secondary,"Intermediate, Shivpati Inter College, Shohratgarh, Siddharthnagar, 1983; Studied BA but didn't complete it",59,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
